Date,ITUB4,PETR4,VALE3
2020-10-02,15.75226879119873,5.634552478790283,35.47067642211914
2020-10-05,15.919624328613281,5.93375825881958,36.24309539794922
2020-10-06,15.94752311706543,5.90413236618042,35.65313720703125
2020-10-07,15.828971862792969,5.862659931182861,36.595855712890625
2020-10-08,16.784292221069336,6.055217742919922,37.27705764770508
2020-10-09,16.7354793548584,5.865622043609619,37.465599060058594
2020-10-13,16.575098037719727,5.963383197784424,37.79402542114258
2020-10-14,16.52628517150879,5.915983200073242,38.31708526611328
2020-10-15,16.379854202270508,5.8508100509643555,37.9947395324707
2020-10-16,16.114870071411133,5.726387023925781,37.85485076904297
2020-10-19,16.289194107055664,5.782674312591553,37.678470611572266
2020-10-20,16.937705993652344,5.978194713592529,37.6115608215332
2020-10-21,17.091114044189453,5.972269058227539,38.22585678100586
2020-10-22,17.969715118408203,6.173715114593506,38.37790298461914
2020-10-23,17.739606857299805,6.093730926513672,38.59077453613281
2020-10-26,17.86512565612793,5.998931407928467,38.01298522949219
2020-10-27,17.356082916259766,5.889321804046631,38.03122329711914
2020-10-28,16.582067489624023,5.530867099761963,36.650596618652344
2020-10-29,16.665746688842773,5.714539051055908,37.721046447753906
2020-10-30,16.372879028320312,5.610853672027588,36.82697296142578
2020-11-03,16.774085998535156,5.82118558883667,38.52388000488281
2020-11-04,17.443939208984375,5.841923713684082,37.45343780517578
2020-11-05,17.855609893798828,5.892283916473389,38.043392181396484
2020-11-06,17.834688186645508,5.8508100509643555,38.43263626098633
2020-11-09,19.2790470123291,6.401822090148926,38.43263626098633
2020-11-10,20.151233673095703,6.837301254272461,38.41440200805664
2020-11-11,19.983768463134766,6.778050899505615,38.6820182800293
2020-11-12,19.495338439941406,6.490695953369141,38.11637496948242
2020-11-13,19.865158081054688,6.703989505767822,38.469139099121094
2020-11-16,20.562910079956055,6.89951229095459,39.48484420776367
2020-11-17,20.57686424255371,7.018008708953857,40.73167419433594
2020-11-18,20.07447624206543,6.976534843444824,40.415401458740234
2020-11-19,20.102388381958008,7.056520938873291,41.18783187866211
2020-11-23,20.165185928344727,7.435712814331055,43.359130859375
2020-11-24,20.730369567871094,7.767505168914795,45.49394226074219
2020-11-25,20.486156463623047,7.776393413543701,45.91968536376953
2020-11-26,20.053543090820312,7.649008750915527,46.57046127319336
2020-11-27,20.207059860229492,7.5542097091674805,47.70780944824219
2020-11-30,19.927959442138672,7.376465320587158,47.44020080566406
2020-12-01,20.769184112548828,7.58383321762085,49.416866302490234
2020-12-02,20.92976188659668,7.675670146942139,48.55929946899414
2020-12-03,20.915788650512695,7.891927719116211,48.02407455444336
2020-12-04,21.1252384185791,8.155584335327148,49.86087417602539
2020-12-07,21.250905990600586,7.998578071594238,50.4508171081543
2020-12-08,21.195051193237305,7.897854328155518,50.4204216003418
2020-12-09,21.32070541381836,7.980801105499268,50.29877471923828
2020-12-10,22.025808334350586,8.24149227142334,51.69764709472656
2020-12-11,21.895673751831055,8.16743278503418,51.61249542236328
2020-12-14,21.601858139038086,8.182247161865234,50.81574630737305
2020-12-15,21.79773712158203,8.250382423400879,51.393558502197266
2020-12-16,22.210460662841797,8.351103782653809,52.43967056274414
2020-12-17,22.182483673095703,8.36591625213623,53.035701751708984
2020-12-18,22.147504806518555,8.324443817138672,53.40062713623047
2020-12-21,21.755754470825195,8.004501342773438,52.828914642333984
2020-12-22,21.860687255859375,8.081523895263672,52.87757873535156
2020-12-23,22.3433780670166,8.28000545501709,53.13302230834961
2020-12-28,22.5042781829834,8.348142623901367,53.102603912353516
2020-12-29,22.455305099487305,8.374805450439453,52.95664978027344
2020-12-30,22.12651824951172,8.39554214477539,53.18776321411133
2021-01-04,21.626115798950195,8.564398765563965,55.62667465209961
2021-01-05,21.48613739013672,8.899154663085938,56.563316345214844
2021-01-06,22.116018295288086,8.916930198669434,58.41835403442383
2021-01-07,22.97686195373535,9.183549880981445,62.231807708740234
2021-01-08,22.969865798950195,9.219099998474121,62.03717041015625
2021-01-11,22.451953887939453,9.142077445983887,62.025028228759766
2021-01-12,22.521944046020508,9.073939323425293,60.32810974121094
2021-01-13,22.1510066986084,8.63550090789795,58.5217399597168
2021-01-14,22.80889320373535,8.724371910095215,59.48271179199219
2021-01-15,21.948055267333984,8.330368041992188,56.897830963134766
2021-01-18,21.83606719970703,8.315555572509766,57.36007308959961
2021-01-19,21.577106475830078,8.499226570129395,57.2080192565918
2021-01-20,21.220182418823242,8.35702896118164,56.14972686767578
2021-01-21,20.933238983154297,8.161507606506348,56.78227233886719
2021-01-22,20.485309600830078,8.025236129760742,56.666709899902344
2021-01-26,19.805391311645508,7.998578071594238,55.80305099487305
2021-01-27,19.805391311645508,8.117073059082031,54.25212097167969
2021-01-28,20.6046085357666,8.22372055053711,55.407718658447266
2021-01-29,19.868484497070312,7.906741142272949,53.49186706542969
2021-02-01,20.398075103759766,8.155584335327148,55.51111602783203
2021-02-02,19.963171005249023,8.490338325500488,53.31549835205078
2021-02-03,19.86497688293457,8.573287010192871,55.00022888183594
2021-02-04,19.78080177307129,8.537737846374512,54.306861877441406
2021-02-05,19.696626663208008,8.543662071228027,56.374778747558594
2021-02-08,19.331876754760742,8.32740592956543,57.177608489990234
2021-02-09,19.563352584838867,8.158547401428223,57.323577880859375
2021-02-10,19.423063278198242,8.235569953918457,57.597267150878906
2021-02-11,19.423063278198242,8.318517684936523,56.62413024902344
2021-02-12,19.472164154052734,8.425166130065918,57.1046142578125
2021-02-17,19.717670440673828,8.765846252441406,58.600807189941406
